loc,cbo,dit,fanIn,fanOut,lcom,noc,rfc,wmc,numberOfAttributes,numberOfAttributesInherited,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,numberOfVersionsUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,bug
6,1,1,1,0,0,0,2,1,5,0,1,9,0,0,0,1,2,0,1,4,4,2.0,1,1,0.5,3,3,1.5,45.8571,19.2857,0
13,1,2,0,1,0,0,8,4,0,1,1,2,0,0,0,0,6,0,2,6,4,1.0,20,15,3.33333,-14,3,-2.33333,43.8571,11.9286,1
60,7,1,2,5,36,0,29,14,11,0,9,0,6,0,0,8,14,0,3,60,33,4.28571,45,26,3.21429,15,7,1.07143,91.7143,43.4024,0
195,18,3,10,9,253,0,97,61,11,4,23,48,2,2,9,19,14,0,1,269,89,19.2143,38,16,2.71429,231,73,16.5,94.2857,36.2459,0
88,7,2,1,6,28,0,36,33,8,0,8,15,4,4,0,4,12,0,7,430,387,35.8333,407,387,33.9167,23,17,1.91667,179.28599999999997,59.8618,0
12,8,1,7,1,3,0,7,3,0,0,3,11,0,0,0,3,2,0,1,2,1,1.0,2,1,1.0,0,0,0.0,82.1429,25.6429,0
15,4,3,1,3,3,0,8,4,2,1,3,31,2,0,0,3,13,0,5,30,9,2.30769,49,10,3.76923,-19,0,-1.46154,322.714,49.4905,0
34,4,1,1,3,10,0,18,8,13,0,5,9,3,4,0,1,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,6.42857,0.0,1
8,1,1,0,1,3,0,4,3,0,0,3,9,0,0,0,3,7,0,2,41,33,5.85714,38,33,5.42857,3,33,0.428571,103.571,11.5401,0
77,14,4,2,12,36,0,45,22,0,28,9,91,0,2,0,2,42,0,7,334,103,7.952380000000002,278,103,6.61905,56,18,1.33333,367.0,97.4341,0
44,4,2,1,3,10,0,10,6,2,0,5,23,1,0,1,5,3,0,2,3,1,1.0,4,2,1.33333,-1,0,-0.333333,70.1429,31.3333,0
21,6,2,1,5,3,0,14,2,0,0,3,11,0,0,0,3,6,0,2,8,4,1.33333,5,1,0.833333,3,3,0.5,39.5714,15.0536,0
205,5,1,0,5,91,0,49,43,11,1,14,26,11,8,0,6,2,0,1,0,0,0.0,0,0,0.0,0,0,0.0,45.8571,0.0,0
55,11,1,2,9,10,0,27,11,3,0,5,0,3,0,0,5,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,6.42857,0.0,0
92,11,2,1,10,78,0,49,31,1,0,13,29,1,9,0,3,12,0,5,107,32,8.91667,77,39,6.41667,30,23,2.5,227.429,73.52600000000002,0
53,12,4,4,8,45,1,30,14,3,1,10,63,3,1,0,8,7,0,4,40,13,5.71429,39,23,5.57143,1,10,0.14285699999999998,191.143,48.3429,0
18,1,1,1,0,10,0,11,5,1,0,5,6,1,0,0,5,9,0,6,27,8,3.0,27,8,3.0,0,4,0.0,335.286,145.683,0
116,12,2,2,10,120,4,69,31,0,2,16,39,0,0,0,11,7,0,3,312,144,44.5714,197,144,28.1429,115,75,16.4286,90.5714,30.6049,1
3,0,1,0,0,0,0,2,1,15,0,1,0,1,0,14,1,5,0,2,19,10,3.8,1,1,0.2,18,9,3.6,14.8571,5.4135300000000015,0
128,15,3,2,13,91,0,46,43,4,15,14,70,4,0,0,1,2,0,1,9,9,4.5,0,0,0.0,9,9,4.5,14.7143,9.57143,0
13,3,1,0,3,1,0,8,2,0,0,2,0,0,0,0,2,6,0,3,22,10,3.66667,9,6,1.5,13,10,2.16667,169.0,74.5844,0
48,11,2,0,11,10,0,30,10,6,3,5,14,6,0,0,5,3,0,2,5,4,1.66667,2,1,0.666667,3,3,1.0,40.1429,17.0857,0
127,3,1,0,3,78,1,83,33,4,4,13,66,0,2,4,8,4,1,1,29,20,7.25,3,2,0.75,26,18,6.5,103.714,15.5517,0
314,26,3,1,25,231,0,194,93,2,1,22,30,2,4,0,2,19,0,4,889,224,46.7895,135,102,7.10526,754,224,39.6842,92.5714,16.5832,1
29,7,2,0,7,1,0,22,5,1,6,2,10,1,0,0,1,5,0,4,15,8,3.0,8,6,1.6,7,7,1.4,128.143,47.2,0
66,9,3,1,8,6,0,28,16,8,4,4,43,7,0,0,4,3,0,2,18,16,6.0,12,10,4.0,6,6,2.0,32.7143,2.95238,0
193,17,5,11,6,276,0,54,56,10,9,24,42,0,0,0,20,48,0,7,1007,298,20.9792,963,298,20.0625,44,51,0.916667,367.0,87.8779,0
18,0,1,0,0,15,0,10,4,5,0,6,0,1,0,0,4,11,0,2,182,161,16.5455,199,183,18.0909,-17,5,-1.54545,147.857,3.8752,0
72,3,2,1,2,21,0,32,17,10,3,7,21,7,0,3,6,30,0,5,328,143,10.9333,321,143,10.7,7,15,0.233333,367.0,39.4787,0
3,1,7,1,0,1,0,2,1,3,12,2,52,0,0,3,2,8,0,3,17,6,2.125,20,9,2.5,-3,4,-0.375,184.571,104.076,0
15,6,1,0,6,3,0,14,3,0,0,3,9,0,1,0,2,2,0,1,10,10,5.0,0,0,0.0,10,10,5.0,40.8571,3.14286,0
20,1,1,0,1,0,0,8,3,0,0,1,9,0,0,0,1,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,80.8571,0.0,0
28,3,2,0,3,28,0,18,8,2,0,8,33,0,0,2,8,1,0,1,1,1,1.0,1,1,1.0,0,0,0.0,34.2857,0.0,0
24,13,1,11,2,6,0,16,7,5,0,4,6,5,2,0,2,5,0,4,36,19,7.2,26,16,5.2,10,15,2.0,192.0,71.6508,0
81,12,2,1,11,28,0,39,20,2,0,8,29,1,0,0,6,3,0,1,4,3,1.33333,5,3,1.66667,-1,0,-0.333333,33.4286,7.75,0
