loc,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
412,7,1,0,2,52,19,0,2,2,0.944444444,0.0,0,0.0,0.166666667,0,0,57.42857143,6,3.0,0
11,2,6,0,4,4,1,1,3,1,2.0,0.0,0,0.987179487,0.666666667,0,0,4.5,1,0.5,0
84,3,3,0,3,14,1,0,3,3,0.5,1.0,0,0.9487179490000001,0.666666667,1,1,26.66666667,1,0.6667,0
265,8,3,0,2,39,10,0,2,8,0.7142857140000001,1.0,0,0.8409090909999999,0.325,1,1,31.625,4,1.25,0
147,7,1,0,2,8,0,2,0,7,0.0,1.0,0,0.0,0.342857143,1,1,19.85714286,4,1.0,0
149,10,1,0,9,30,17,6,3,8,0.7333333329999999,1.0,0,0.0,0.25,0,0,13.4,1,0.9,0
385,14,3,0,8,41,33,1,8,10,0.7606837609999999,1.0,2,0.74,0.35714285700000004,1,1,25.85714286,4,1.5714,0
31,2,2,0,10,9,1,6,4,2,2.0,0.0,0,0.923076923,0.666666667,0,0,14.5,1,0.5,0
7,7,1,0,11,7,21,10,1,7,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
34,4,1,0,3,7,2,1,2,4,0.666666667,1.0,0,0.0,0.75,0,0,7.0,1,0.75,1
174,14,3,12,20,41,0,13,7,13,0.46153846200000004,1.0,1,0.74,0.39285714299999996,0,0,11.28571429,6,1.5,0
128,3,2,0,9,22,3,1,8,2,2.0,0.0,0,0.92,1.0,1,1,41.66666667,9,3.3333,0
1260,6,3,0,2,29,0,0,2,5,0.64,1.0,0,0.880952381,0.5555555560000001,1,1,208.16666669999998,2,1.0,0
95,5,2,0,7,18,10,1,6,4,1.0,0.0,0,0.764705882,0.5,0,0,17.8,1,0.8,1
294,8,3,0,11,39,0,3,8,6,0.6571428570000001,1.0,1,0.8409090909999999,0.325,0,0,35.125,1,0.875,0
33,2,3,0,3,8,1,1,3,2,2.0,0.0,0,0.96969697,1.0,0,0,15.5,1,0.5,1
514,23,3,1,18,69,163,4,14,14,0.846153846,1.0,2,0.637931034,0.198863636,0,0,20.7826087,3,1.0435,1
65,5,1,0,4,13,0,0,4,5,0.5,1.0,0,0.0,0.8,0,0,11.6,3,1.2,0
404,14,3,0,7,33,65,0,7,14,0.91025641,1.0,1,0.74,0.595238095,2,3,27.0,2,1.0,1
7,0,1,0,1,0,0,1,0,0,2.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
