loc,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
7,7,1,0,9,7,21,8,1,7,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
1720,19,1,0,12,103,133,1,12,3,0.81372549,0.882352941,0,0.0,0.141414141,0,0,88.63157895,11,2.5263,1
144,7,3,0,7,21,0,0,7,7,0.625,1.0,0,0.860465116,0.342857143,1,1,19.0,5,1.4286,0
581,12,3,0,11,64,0,0,11,9,0.6181818179999999,1.0,0,0.770833333,0.23809523800000001,0,0,47.0,20,3.4167,0
135,16,3,0,22,29,0,4,18,16,0.0,1.0,0,0.666666667,0.125,1,1,7.375,1,0.9375,0
137,5,1,1,3,15,0,2,1,4,0.5,1.0,0,0.0,0.9,0,0,25.2,4,1.8,0
52,4,6,0,4,16,0,0,4,3,0.333333333,1.0,0,0.9739130429999999,0.75,2,2,11.75,2,1.0,0
182,8,3,0,6,36,18,1,6,4,1.0,0.428571429,1,0.860465116,0.28571428600000004,0,0,20.875,1,0.75,0
5,1,3,0,1,2,0,0,1,1,2.0,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0
543,10,3,1,14,61,19,1,13,8,0.80952381,1.0,0,0.804347826,0.26666666699999997,2,2,52.6,5,1.4,1
150,7,6,0,9,32,13,0,9,4,0.75,1.0,0,0.9625,0.4,4,9,20.14285714,2,1.0,1
215,7,5,0,9,28,0,4,5,7,0.708333333,0.5,0,0.8636363640000001,0.342857143,1,4,29.14285714,9,2.8571,0
11,2,6,0,4,4,1,1,3,1,2.0,0.0,0,0.987179487,0.666666667,0,0,4.5,1,0.5,0
264,7,1,0,12,46,21,4,8,0,2.0,0.0,0,0.0,0.30952381,0,0,36.71428571,9,2.0,0
189,25,3,1,35,39,0,9,26,25,0.0,1.0,0,0.5555555560000001,0.08,1,1,6.52,1,0.96,0
269,13,1,2,12,37,56,4,10,4,0.770833333,1.0,2,0.0,0.205128205,0,0,19.38461538,7,1.3846,0
186,7,1,0,4,24,0,0,4,6,0.566666667,1.0,1,0.0,0.6190476189999999,0,0,24.85714286,6,2.2857,1
205,6,4,0,9,33,0,0,9,6,0.68,1.0,1,0.939759036,0.41666666700000005,2,4,32.33333333,1,0.8333,0
281,8,3,0,2,40,10,0,2,8,0.7142857140000001,1.0,0,0.8409090909999999,0.325,1,1,33.625,4,1.25,0
7,7,1,0,16,7,21,15,1,7,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1
250,3,2,1,8,43,3,2,6,1,2.0,0.0,0,0.9,0.5555555560000001,1,1,82.33333333,9,3.3333,1
145,8,3,2,5,21,18,2,3,4,0.7142857140000001,1.0,0,0.8409090909999999,0.4375,1,1,16.875,1,0.875,0
783,22,3,0,12,71,163,1,11,17,0.867346939,1.0,5,0.649122807,0.25170068,2,2,33.95454545,22,2.6818,1
480,16,3,0,13,48,58,1,13,12,0.786666667,1.0,2,0.711538462,0.25,2,2,28.375,4,1.4375,0
167,8,3,0,11,33,4,0,11,6,0.771428571,1.0,4,0.810810811,0.25,1,3,19.25,5,2.0,0
607,27,3,1,19,80,249,4,15,18,0.8692307690000001,1.0,2,0.587301587,0.166666667,0,0,20.92592593,3,1.1481,1
106,7,3,3,12,26,9,3,9,4,1.041666667,0.375,0,0.860465116,0.428571429,0,0,13.0,3,1.1429,0
686,7,4,0,9,50,21,0,9,1,2.0,0.0,0,0.9302325579999999,0.7142857140000001,4,4,97.0,21,5.4286,0
16,1,1,0,0,2,0,0,0,1,2.0,0.0,0,0.0,1.0,0,0,3.0,0,0.0,1
152,4,3,0,3,17,4,0,3,3,0.666666667,1.0,0,0.925,0.75,1,1,36.75,1,0.75,0
860,28,3,0,13,85,248,5,8,24,0.87654321,0.9523809520000001,3,0.526315789,0.189285714,1,4,28.96428571,28,3.3214,0
99,5,3,0,4,17,0,0,4,5,0.666666667,1.0,0,0.9024390240000001,0.533333333,1,1,18.2,1,0.8,0
151,3,2,0,8,20,3,1,7,2,1.0,0.0,0,0.92,0.5,0,0,48.33333333,1,0.6667,0
377,14,5,0,12,41,29,6,6,13,0.875739645,0.538461538,2,0.76,0.19658119699999999,1,4,25.0,9,2.2857,0
104,6,3,0,5,21,3,0,5,5,0.75,1.0,1,0.9024390240000001,0.533333333,1,1,15.66666667,1,0.6667,0
504,19,3,0,10,61,135,0,10,16,0.8888888890000001,1.0,0,0.672727273,0.37894736799999995,1,1,24.78947368,13,1.9474,0
141,5,3,0,6,26,0,0,6,4,0.375,1.0,0,0.9024390240000001,0.46666666700000003,0,0,26.8,1,0.8,0
1095,33,1,0,70,121,440,54,22,25,0.8601190479999999,0.80952381,7,0.0,0.11057692300000001,0,0,31.54545455,11,1.9697,0
2015,100,1,0,202,247,4576,193,23,87,0.9795008909999999,0.588235294,4,0.0,0.090869565,0,0,18.81,7,1.4,1
56,6,1,0,3,11,0,0,3,6,0.5,1.0,0,0.0,0.375,0,0,8.0,3,1.1667,0
300,28,1,0,11,52,282,7,4,28,0.9197530859999999,1.0,3,0.0,0.13961039,0,0,9.285714286000001,3,1.2857,0
220,14,3,2,8,38,83,2,6,8,0.7435897440000001,1.0,1,0.74,0.297619048,1,1,14.5,4,1.2143,1
237,7,3,0,6,26,15,2,5,6,0.833333333,0.5,0,0.860465116,0.28571428600000004,1,1,32.57142857,1,0.8571,0
198,8,5,0,10,23,0,5,5,8,0.761904762,0.5,0,0.8444444440000001,0.35,1,4,23.0,6,2.25,0
70,5,2,0,7,14,6,0,7,4,0.625,1.0,0,0.692307692,0.8,0,0,12.6,4,1.4,0
156,9,1,0,5,24,4,5,0,3,0.41666666700000005,1.0,0,0.0,0.3125,0,0,16.0,6,1.8889,0
1093,23,1,0,31,82,201,22,27,17,0.8939393940000001,0.444444444,0,0.0,0.318181818,0,0,45.73913043,24,2.3043,0
23,2,3,0,3,7,1,1,3,2,2.0,0.0,0,0.96969697,1.0,0,0,10.5,1,0.5,0
168,9,3,0,9,29,0,0,9,9,0.583333333,1.0,1,0.8222222220000001,0.444444444,0,0,17.33333333,2,1.4444,0
659,21,1,0,27,78,158,11,17,15,0.735714286,0.9285714290000001,5,0.0,0.145,0,0,29.71428571,7,1.6667,1
120,2,2,0,9,19,1,1,8,2,2.0,0.0,0,0.958333333,1.0,1,1,59.0,1,0.5,0
125,20,1,0,5,21,130,3,2,20,0.8526315790000001,1.0,0,0.0,0.36,0,0,5.0,4,1.05,0
297,16,1,0,9,39,82,4,5,14,0.7666666670000001,1.0,0,0.0,0.2109375,0,0,17.1875,8,2.125,0
1238,30,3,0,51,102,301,40,13,24,0.6034482760000001,0.5,1,0.526315789,0.12183908,2,6,40.2,15,2.6333,0
165,10,6,0,10,33,35,0,10,6,0.851851852,1.0,1,0.950617284,0.351851852,3,9,15.2,2,0.9,0
388,7,1,0,4,41,15,1,3,6,0.833333333,0.333333333,0,0.0,0.2,0,0,54.0,3,1.2857,1
152,4,3,0,3,17,4,0,3,3,0.666666667,1.0,0,0.925,0.75,1,1,36.75,1,0.75,0
250,11,3,0,11,38,0,0,11,11,0.7,1.0,1,0.787234043,0.454545455,1,1,21.36363636,2,1.4545,0
316,18,5,0,15,58,39,0,15,16,0.607843137,1.0,1,0.8629032259999999,0.268518519,4,7,16.38888889,4,1.2222,0
5,1,3,0,5,2,0,5,0,1,2.0,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0
366,14,3,2,11,41,67,3,8,11,0.846153846,1.0,1,0.74,0.223214286,1,1,24.71428571,4,1.2857,0
376,20,1,0,4,42,130,0,4,18,0.736842105,1.0,1,0.0,0.284210526,0,0,17.45,3,1.15,0
18,1,5,0,1,8,0,0,1,1,2.0,0.0,0,1.0,1.0,0,0,17.0,0,0.0,0
710,34,4,0,10,92,39,0,10,29,0.723484848,1.0,2,0.643678161,0.148484848,3,4,19.64705882,5,1.9118,1
52,6,1,0,3,10,0,0,3,6,0.4,1.0,1,0.0,0.375,0,0,7.333333333,2,1.0,0
2704,92,3,0,34,261,3726,8,34,81,0.960245637,0.970588235,11,0.291338583,0.11247576,2,2,28.02173913,15,1.5543,1
101,5,3,0,4,17,0,0,4,5,0.666666667,1.0,0,0.9024390240000001,0.533333333,1,1,18.6,1,0.8,0
12,2,4,0,2,4,1,0,2,1,2.0,0.0,0,0.9714285709999999,0.75,1,1,5.0,1,0.5,0
184,13,4,0,7,37,66,0,7,9,0.875,0.5,0,0.8,0.512820513,2,3,12.84615385,4,1.3846,0
1230,28,2,0,12,97,302,1,11,16,0.962962963,1.0,0,0.542372881,0.272321429,2,8,41.78571429,20,2.2857,0
346,2,2,0,8,34,1,1,7,2,2.0,0.0,0,0.958333333,1.0,1,1,172.0,1,0.5,0
194,8,2,1,4,18,2,1,3,7,0.69047619,1.0,0,0.5625,0.35,0,0,22.5,4,1.5,0
2236,38,4,1,31,169,453,3,28,22,0.869565217,1.0,2,0.684210526,0.144144144,0,0,57.23684211,5,1.2632,1
202,3,2,0,3,31,3,0,3,1,2.0,0.0,0,0.882352941,0.666666667,1,2,66.33333333,14,5.0,0
488,14,5,0,7,49,7,1,6,7,0.735042735,1.0,0,0.7,0.25,2,5,33.21428571,12,1.7857,1
1000,48,3,0,22,151,498,0,22,38,0.8608837970000001,1.0,4,0.44047619,0.12222222199999999,1,3,19.5625,2,1.125,1
56,4,1,0,13,14,6,0,13,4,1.0,1.0,1,0.0,0.375,0,0,12.75,1,0.75,0
214,10,3,0,5,41,21,0,5,5,0.666666667,1.0,0,0.804347826,0.433333333,0,0,20.0,2,1.0,0
189,25,3,0,32,38,0,5,27,25,0.0,1.0,0,0.5555555560000001,0.08,1,1,6.52,1,0.96,0
165,3,1,0,12,20,3,1,11,1,2.0,0.0,0,0.0,0.444444444,0,0,54.0,1,0.6667,1
