loc,ACD,FOUT_avg,FOUT_max,FOUT_sum,MLOC_avg,MLOC_max,MLOC_sum,NBD_avg,NBD_max,NBD_sum,NOF_avg,NOF_max,NOF_sum,NOI,NOM_avg,NOM_max,NOM_sum,NOT,NSF_avg,NSF_max,NSF_sum,NSM_avg,NSM_max,NSM_sum,PAR_avg,PAR_max,PAR_sum,VG_avg,VG_max,VG_sum,bug
72,2,4.166666667,11,25,7.333333333,17,44,2.0,3,12,1.0,1,1,0,6.0,6,6,1,0.0,0,0,0.0,0,0,0.5,2,3,2.166666667,4,13,0
298,6,8.055555556,34,145,11.77777778,53,212,2.111111111,6,38,1.0,2,2,0,9.0,17,18,1,3.0,6,6,0.0,0,0,0.944444444,2,17,2.666666667,10,48,0
15,0,0.0,0,0,1.0,1,3,1.0,1,3,0.0,0,0,0,3.0,3,3,1,0.0,0,0,0.0,0,0,0.666666667,2,2,1.0,1,3,0
153,3,6.3,45,63,10.3,64,103,1.8,4,18,5.0,5,5,0,10.0,10,10,1,0.0,0,0,0.0,0,0,0.8,3,8,1.8,5,18,0
9,0,0.0,0,0,1.0,1,2,1.0,1,2,0.0,0,0,0,2.0,2,2,1,0.0,0,0,0.0,0,0,0.5,1,1,1.0,1,2,0
6,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,3.0,3,3,0,0.0,0,0,0.0,0,0,0.333333333,1,1,0.0,0,0,0
23,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,20.0,20,20,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
86,0,10.33333333,20,31,16.33333333,26,49,1.333333333,2,4,1.0,1,1,0,3.0,3,3,1,15.0,15,15,0.0,0,0,0.666666667,1,2,5.333333333,14,16,0
609,1,9.096774194,26,282,16.83870968,56,522,2.290322581,5,71,5.0,5,5,0,8.0,8,8,1,8.0,8,8,23.0,23,23,0.709677419,2,22,4.967741935,18,154,0
4,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,0,0.0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
88,1,4.666666667,10,28,9.666666667000001,24,58,2.333333333,4,14,0.0,0,0,0,6.0,6,6,1,0.0,0,0,0.0,0,0,0.833333333,1,5,3.333333333,8,20,0
89,0,1.727272727,8,19,5.272727273,13,58,1.545454545,3,17,4.0,4,4,0,11.0,11,11,1,0.0,0,0,0.0,0,0,0.727272727,2,8,2.181818182,4,24,0
79,0,3.285714286,10,23,6.857142857,18,48,1.714285714,4,12,3.0,3,3,0,7.0,7,7,1,0.0,0,0,0.0,0,0,0.7142857140000001,3,5,2.428571429,6,17,1
281,0,4.0,18,96,8.708333332999999,27,209,1.916666667,4,46,5.0,8,10,0,12.0,23,24,1,0.0,0,0,0.0,0,0,1.375,3,33,3.458333333,14,83,0
30,0,2.8,6,14,2.4,7,12,1.2,2,6,0.0,0,0,0,5.0,5,5,1,1.0,1,1,0.0,0,0,0.4,2,2,1.2,2,6,0
12,0,0.0,0,0,1.5,2,3,1.0,1,2,1.0,1,1,0,2.0,2,2,1,0.0,0,0,0.0,0,0,1.0,2,2,1.0,1,2,0
162,0,2.578947368,9,49,5.473684211,19,104,1.684210526,5,32,6.0,6,6,0,19.0,19,19,1,5.0,5,5,0.0,0,0,1.0,3,19,2.0,5,38,0
45,0,3.5,14,21,4.5,17,27,1.333333333,3,8,1.0,1,1,0,6.0,6,6,1,0.0,0,0,0.0,0,0,0.166666667,1,1,2.5,8,15,0
129,0,0.0,0,0,0.0,0,0,1.0,1,14,0.0,0,0,0,14.0,14,14,1,0.0,0,0,0.0,0,0,7.0,13,98,1.0,1,14,0
104,0,7.2,15,36,16.2,32,81,2.6,5,13,2.0,2,2,0,5.0,5,5,1,1.0,1,1,0.0,0,0,0.8,2,4,4.8,9,24,0
77,0,1.166666667,3,7,8.833333332999999,17,53,2.0,3,12,0.0,0,0,0,0.0,0,0,1,4.0,4,4,6.0,6,6,0.666666667,2,4,3.833333333,4,23,0
21,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0.0,0,0,0,18.0,18,18,0.0,0,0,0.0,0,0,0.0,0,0,0
23,0,0.0,0,0,1.0,1,4,1.0,1,4,0.0,0,0,0,3.0,3,3,1,4.0,4,4,1.0,1,1,1.5,2,6,1.0,1,4,0
185,0,12.85714286,20,90,19.0,26,133,2.285714286,3,16,7.0,7,7,0,7.0,7,7,1,4.0,4,4,0.0,0,0,1.428571429,4,10,5.0,9,35,0
55,0,0.909090909,4,10,1.727272727,4,19,1.0,1,11,3.0,3,3,0,11.0,11,11,1,1.0,1,1,0.0,0,0,0.272727273,1,3,1.181818182,2,13,1
393,0,14.0625,66,225,18.0625,79,289,2.5625,7,41,6.5,13,13,0,8.0,14,16,1,0.5,1,1,0.0,0,0,0.875,3,14,4.4375,18,71,0
83,0,2.0,6,20,5.6,20,56,1.3,2,13,1.0,1,1,0,10.0,10,10,1,1.0,1,1,0.0,0,0,0.6,2,6,1.9,6,19,0
6,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,3.0,3,3,0,0.0,0,0,0.0,0,0,1.0,2,3,0.0,0,0,0
58,0,5.333333333,9,16,11.0,19,33,2.333333333,4,7,1.0,1,1,0,3.0,3,3,1,0.0,0,0,0.0,0,0,1.666666667,2,5,3.333333333,5,10,0
118,0,1.666666667,8,20,4.333333333,14,52,1.416666667,3,17,25.0,25,25,0,12.0,12,12,1,11.0,11,11,0.0,0,0,0.666666667,2,8,1.833333333,6,22,0
234,1,4.631578947,13,88,8.157894737000001,26,155,2.157894737,6,41,10.0,10,10,0,3.0,3,3,1,15.0,15,15,16.0,16,16,0.15789473699999998,1,3,2.631578947,7,50,0
12,0,0.0,0,0,1.0,1,2,1.0,1,2,0.0,0,0,0,2.0,2,2,1,0.0,0,0,0.0,0,0,0.5,1,1,1.0,1,2,0
171,0,17.5,20,35,75.0,76,150,5.5,8,11,0.0,0,0,0,1.0,1,1,1,0.0,0,0,1.0,1,1,2.5,3,5,17.5,25,35,0
4,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,1.0,1,1,0,0.0,0,0,0.0,0,0,2.0,2,2,0.0,0,0,0
