loc,ACD,FOUT_avg,FOUT_max,FOUT_sum,MLOC_avg,MLOC_max,MLOC_sum,NBD_avg,NBD_max,NBD_sum,NOF_avg,NOF_max,NOF_sum,NOI,NOM_avg,NOM_max,NOM_sum,NOT,NSF_avg,NSF_max,NSF_sum,NSM_avg,NSM_max,NSM_sum,PAR_avg,PAR_max,PAR_sum,VG_avg,VG_max,VG_sum,bug
73,0,3.666666667,18,22,3.666666667,16,22,1.0,1,6,1.0,1,1,0,6.0,6,6,1,3.0,3,3,0.0,0,0,1.5,4,9,1.0,1,6,0
8,0,0.0,0,0,0.0,0,0,0.0,0,0,4.0,4,4,0,0.0,0,0,1,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0
68,0,12.0,24,24,26.0,47,52,2.5,4,5,4.0,4,4,0,2.0,2,2,1,0.0,0,0,0.0,0,0,4.0,8,8,5.5,10,11,1
6,0,0.0,0,0,0.0,0,0,0.0,0,0,2.0,2,2,0,0.0,0,0,1,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0
6,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,1.0,1,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
54,0,1.5555555559999998,3,14,2.111111111,6,19,1.222222222,2,11,1.0,1,1,0,9.0,9,9,1,0.0,0,0,0.0,0,0,0.333333333,1,3,1.222222222,2,11,0
111,2,3.166666667,22,38,5.416666667,34,65,1.166666667,4,14,2.5,5,5,0,6.0,10,12,1,0.5,1,1,0.0,0,0,1.083333333,4,13,1.333333333,3,16,0
28,0,0.7142857140000001,1,5,1.571428571,3,11,1.0,1,7,0.0,0,0,0,1.0,1,1,1,0.0,0,0,6.0,6,6,1.285714286,2,9,1.428571429,2,10,0
437,0,7.166666667,24,258,7.777777778,22,280,1.472222222,3,53,6.5,10,13,0,16.5,25,33,1,0.5,1,1,1.5,3,3,0.916666667,3,33,2.638888889,14,95,0
117,0,2.2,6,22,7.9,21,79,1.9,5,19,4.5,8,9,0,5.0,7,10,1,0.5,1,1,0.0,0,0,1.0,3,10,2.6,6,26,0
303,1,9.55,25,191,11.4,36,228,2.1,4,42,7.0,7,7,0,20.0,20,20,1,0.0,0,0,0.0,0,0,0.8,2,16,2.85,6,57,0
167,0,2.652173913,7,61,4.7826086960000005,25,110,1.217391304,4,28,3.0,3,3,0,22.0,22,22,1,0.0,0,0,1.0,1,1,0.6521739129999999,3,15,2.086956522,7,48,0
20,0,1.0,2,3,2.0,5,6,1.333333333,2,4,0.0,0,0,0,1.0,1,1,1,2.0,2,2,2.0,2,2,1.0,2,3,1.333333333,2,4,0
21,0,0.0,0,0,1.5,3,6,1.0,1,4,2.0,2,2,0,4.0,4,4,1,0.0,0,0,0.0,0,0,1.75,4,7,1.0,1,4,0
139,1,5.666666667,24,68,8.083333332999999,25,97,2.333333333,7,28,0.0,0,0,0,12.0,12,12,1,1.0,1,1,0.0,0,0,0.583333333,2,7,2.583333333,7,31,0
1231,0,3.438202247,19,306,11.37078652,52,1012,2.056179775,7,183,0.0,0,0,0,1.0,1,3,1,2.333333333,7,7,28.66666667,86,86,1.752808989,4,156,4.269662921,19,380,1
12,0,2.0,2,2,5.0,5,5,2.0,2,2,0.0,0,0,0,1.0,1,1,1,0.0,0,0,0.0,0,0,3.0,3,3,2.0,2,2,0
105,1,5.222222222,20,47,7.444444444,33,67,2.0,5,18,1.0,1,1,0,9.0,9,9,1,0.0,0,0,0.0,0,0,0.333333333,1,3,2.111111111,7,19,1
45,0,1.571428571,4,11,3.0,7,21,1.285714286,2,9,3.0,3,3,0,7.0,7,7,1,2.0,2,2,0.0,0,0,1.714285714,4,12,1.285714286,2,9,1
52,0,2.0,3,14,2.0,3,14,1.0,1,7,0.0,0,0,0,7.0,7,7,1,0.0,0,0,0.0,0,0,1.428571429,3,10,1.0,1,7,0
6,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,1.0,1,1,0,0.0,0,0,0.0,0,0,4.0,4,4,0.0,0,0,0
78,0,1.5,5,18,3.333333333,13,40,1.25,2,15,2.0,2,2,0,12.0,12,12,1,0.0,0,0,0.0,0,0,0.4166666670000001,2,5,1.666666667,5,20,0
164,0,2.791666667,18,67,4.666666667,30,112,1.25,4,30,3.0,3,3,0,24.0,24,24,1,0.0,0,0,0.0,0,0,0.541666667,2,13,1.625,8,39,0
4,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,1.0,1,1,0,0.0,0,0,0.0,0,0,1.0,1,1,0.0,0,0,0
46,0,1.4444444440000002,4,13,3.0,8,27,1.333333333,3,12,0.0,0,0,0,9.0,9,9,1,0.0,0,0,0.0,0,0,0.8888888890000001,2,8,1.333333333,3,12,1
5,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,2.0,2,2,0,0.0,0,0,0.0,0,0,1.0,1,2,0.0,0,0,0
5,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,2.0,2,2,0,0.0,0,0,0.0,0,0,1.0,1,2,0.0,0,0,0
249,0,4.0,22,52,15.84615385,54,206,2.0,4,26,5.0,8,10,0,6.5,10,13,1,0.5,1,1,0.0,0,0,2.153846154,5,28,6.153846154,19,80,1
26,0,8.5,14,17,9.5,14,19,2.0,3,4,0.0,0,0,0,0.0,0,0,1,0.0,0,0,2.0,2,2,2.0,2,4,4.0,6,8,0
13,0,0.333333333,1,1,1.0,1,3,1.0,1,3,0.0,0,0,0,3.0,3,3,1,0.0,0,0,0.0,0,0,0.333333333,1,1,1.0,1,3,0
1048,0,9.731707317,37,399,20.3902439,105,836,2.707317073,6,111,0.0,0,0,0,0.0,0,0,1,25.0,25,25,41.0,41,41,2.0,5,82,5.195121951,26,213,0
364,2,4.823529412,69,164,7.5,91,255,1.588235294,4,54,25.0,25,25,0,34.0,34,34,1,2.0,2,2,0.0,0,0,0.470588235,5,16,2.5,15,85,0
154,0,4.230769231,10,55,8.0,21,104,2.230769231,4,29,0.0,0,0,0,0.0,0,0,1,4.0,4,4,13.0,13,13,1.5384615380000002,4,20,3.307692308,9,43,1
251,0,5.0,25,70,14.35714286,77,201,2.285714286,5,32,7.0,7,7,0,14.0,14,14,1,3.0,3,3,0.0,0,0,1.285714286,3,18,4.428571429,21,62,1
36,0,2.5,5,5,14.0,27,28,2.0,3,4,1.0,1,1,0,2.0,2,2,1,0.0,0,0,0.0,0,0,1.5,3,3,3.5,6,7,0
8,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,4.0,4,4,0,0.0,0,0,0.0,0,0,0.25,1,1,0.0,0,0,0
18,0,0.5,1,2,1.5,3,6,1.0,1,4,0.0,0,0,0,4.0,4,4,1,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,4,0
346,0,4.909090909,9,108,10.27272727,16,226,1.0,1,22,0.0,0,0,0,1.0,1,1,1,17.0,17,17,21.0,21,21,2.318181818,3,51,4.0,6,88,1
8,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,1,2.0,2,2,0,0.0,0,0,0.0,0,0,0.5,1,1,0.0,0,0,0
52,0,2.625,5,21,3.25,9,26,1.25,3,10,0.0,0,0,0,5.0,5,5,1,4.0,4,4,3.0,3,3,0.0,0,0,1.375,3,11,0
56,0,2.5,14,15,3.5,14,21,1.0,1,6,1.0,1,1,0,4.0,4,4,1,15.0,15,15,2.0,2,2,1.166666667,2,7,1.0,1,6,0
33,0,0.666666667,2,2,6.666666667,12,20,2.333333333,4,7,2.0,2,2,0,3.0,3,3,1,0.0,0,0,0.0,0,0,0.333333333,1,1,3.333333333,5,10,0
8,0,0.0,0,0,0.0,0,0,0.0,0,0,4.0,4,4,0,0.0,0,0,1,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0
8,0,0.0,0,0,0.0,0,0,0.0,0,0,4.0,4,4,0,0.0,0,0,1,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0
130,0,1.111111111,15,20,4.888888889,58,88,1.222222222,5,22,1.0,1,1,0,18.0,18,18,1,0.0,0,0,0.0,0,0,0.7222222220000001,5,13,2.555555556,26,46,0
133,2,5.0,18,30,15.33333333,50,92,2.833333333,5,17,7.0,7,7,0,6.0,6,6,1,1.0,1,1,0.0,0,0,0.666666667,2,4,3.833333333,9,23,0
16,0,0.25,1,1,0.75,2,3,1.0,1,4,0.0,0,0,0,4.0,4,4,1,0.0,0,0,0.0,0,0,1.0,3,4,1.0,1,4,0
122,2,3.583333333,9,43,6.416666667,19,77,1.083333333,2,13,4.0,4,4,0,11.0,11,11,1,0.0,0,0,0.0,0,0,1.0,3,12,1.333333333,3,16,0
254,0,3.727272727,13,82,8.090909091,32,178,1.727272727,3,38,2.0,2,2,0,19.0,19,19,1,0.0,0,0,3.0,3,3,1.136363636,2,25,2.590909091,10,57,1
21,0,0.666666667,2,2,3.666666667,9,11,1.333333333,2,4,0.0,0,0,0,3.0,3,3,1,0.0,0,0,0.0,0,0,1.333333333,2,4,2.333333333,5,7,0
31,0,0.0,0,0,1.8,5,9,1.0,1,5,4.0,4,4,0,5.0,5,5,1,0.0,0,0,0.0,0,0,0.8,4,4,1.0,1,5,0
110,2,3.545454545,9,39,6.090909091,12,67,1.272727273,2,14,4.0,4,4,0,11.0,11,11,1,2.0,2,2,0.0,0,0,1.727272727,7,19,1.727272727,4,19,0
94,0,1.0,7,20,2.3,16,46,1.15,3,23,2.0,2,2,0,20.0,20,20,1,0.0,0,0,0.0,0,0,0.7,4,14,1.35,4,27,0
