loc,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
351,9,1,0,11,45,22,0,11,6,0.75,1.0,0,0.0,0.4,0,0,37.77777778,1,0.7778,1
75,9,1,0,2,12,22,1,1,9,0.8125,1.0,2,0.0,0.288888889,0,0,6.8888888889999995,4,1.2222,0
1312,11,1,0,5,59,25,1,4,2,1.075609756,0.975609756,0,0.0,0.271428571,0,0,114.54545449999999,10,4.1818,1
35,6,1,0,10,13,15,0,10,6,2.0,0.0,0,0.0,0.36111111100000004,0,0,4.833333333,1,0.8333,0
20,3,1,0,2,4,0,2,0,3,0.0,1.0,0,0.0,1.0,0,0,5.333333333,1,0.6667,0
522,5,1,0,17,61,6,1,16,2,0.75,0.8,0,0.0,0.3125,0,0,102.4,30,6.4,0
169,10,1,0,7,22,11,3,4,10,0.622222222,1.0,2,0.0,0.316666667,0,0,15.4,7,1.9,1
1,1,1,0,4,1,0,2,2,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
42,2,1,0,11,8,0,1,10,2,0.0,1.0,0,0.0,0.75,0,0,19.5,3,1.5,1
39,4,3,0,7,11,6,1,6,2,1.0,0.5,0,0.6,0.333333333,1,1,8.25,1,0.5,0
41,3,2,0,7,13,3,0,7,3,2.0,0.0,0,0.75,0.5555555560000001,0,0,12.66666667,3,1.3333,0
88,2,1,0,4,5,1,4,0,1,1.689655172,0.0,0,0.0,1.0,0,0,28.5,0,0.0,1
281,8,1,0,26,63,20,0,26,6,0.7857142859999999,1.0,1,0.0,0.333333333,0,0,33.875,3,1.0,1
1,1,1,0,1,1,0,1,0,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
191,4,2,0,11,34,2,0,11,3,0.666666667,1.0,0,0.6,0.666666667,0,0,46.25,13,3.5,0
428,16,3,0,34,52,60,24,12,16,0.828571429,1.0,0,0.594594595,0.25,1,4,25.3125,29,2.8125,1
150,4,2,0,9,27,4,0,9,3,0.666666667,1.0,0,0.6,0.666666667,0,0,36.25,11,3.0,1
21,3,1,0,5,8,1,0,5,2,0.5,1.0,0,0.0,0.5,0,0,5.666666667,1,0.3333,1
187,4,2,0,14,30,0,2,12,4,0.0,1.0,1,0.8125,0.5,0,0,45.5,17,4.75,0
153,5,1,0,7,18,0,1,6,3,0.5,1.0,2,0.0,0.5,0,0,28.8,4,1.6,0
1,1,1,0,1,1,0,1,0,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
110,3,2,0,10,21,3,0,10,3,2.0,0.0,0,0.75,0.5555555560000001,0,0,35.66666667,9,3.3333,0
156,4,2,0,14,29,6,0,14,3,1.0,1.0,0,0.75,0.5555555560000001,0,0,37.75,10,2.75,0
185,6,2,0,17,34,1,4,13,4,0.75,0.75,1,0.6,0.35,0,0,29.16666667,12,2.5,0
126,14,1,0,3,15,0,3,0,14,0.7230769229999999,0.6,0,0.0,0.446428571,0,0,7.642857143,4,1.4286,0
210,9,1,0,17,42,28,1,17,3,0.791666667,0.666666667,1,0.0,0.23214285699999998,0,0,22.0,6,1.5556,0
70,3,3,0,7,16,3,2,5,3,2.0,0.0,0,0.916666667,0.833333333,1,2,22.33333333,8,3.0,0
56,3,2,0,10,16,3,0,10,3,2.0,0.0,0,0.75,0.5555555560000001,0,0,17.66666667,4,1.6667,0
66,4,2,0,7,19,2,0,7,3,0.666666667,1.0,0,0.6,0.666666667,0,0,14.75,3,1.0,0
139,4,2,0,4,22,2,1,3,2,0.5555555560000001,1.0,0,0.5,0.625,0,0,33.0,4,1.75,1
207,5,2,0,7,33,2,1,6,2,0.55,1.0,0,0.5,0.625,0,0,39.4,5,1.6,0
18,3,5,0,6,6,3,2,5,3,2.0,0.0,0,0.99047619,0.5,0,0,5.0,1,0.3333,1
76,6,1,0,5,17,5,2,3,3,0.7,0.75,1,0.0,0.3,0,0,11.0,2,0.8333,0
132,5,1,0,12,31,0,0,12,2,1.0,0.25,0,0.0,0.5,0,0,24.6,1,0.6,0
20,2,2,0,7,9,1,0,7,2,2.0,0.0,0,0.875,0.75,0,0,9.0,1,0.5,0
483,16,2,0,13,60,34,4,9,9,0.8666666670000001,0.375,0,0.46428571399999996,0.258928571,0,0,28.6875,8,2.4375,0
145,6,1,0,10,35,3,1,9,3,0.4,1.0,0,0.0,0.25,0,0,23.0,3,1.0,0
