loc,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
120,17,1,2,24,20,96,21,4,17,0.902777778,1.0,2,0.0,0.235294118,0,0,5.529411765,3,1.0588,1
222,4,1,0,4,17,6,2,2,4,2.0,0.0,0,0.0,0.3125,0,0,54.5,14,6.75,1
5,5,1,0,34,5,10,34,0,5,2.0,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,1
5,1,3,3,3,2,0,3,0,1,2.0,0.0,0,1.0,1.0,0,0,4.0,0,0.0,1
136,7,2,0,12,24,0,4,10,7,0.611111111,1.0,1,0.84375,0.303571429,0,0,18.0,1,0.7143,1
245,5,2,0,16,33,0,4,14,5,0.5,1.0,1,0.9,0.466666667,0,0,47.6,1,0.6,1
782,14,2,0,21,61,29,7,16,13,0.78974359,1.0,1,0.692307692,0.253968254,1,2,53.78571429,18,2.2143,1
119,3,4,0,9,21,3,0,9,2,1.5,1.0,0,0.964285714,0.666666667,2,4,38.33333333,2,1.0,0
21,2,2,0,3,7,1,1,2,2,2.0,0.0,0,0.987179487,0.666666667,1,1,9.5,1,0.5,1
292,5,2,0,17,33,0,4,15,5,0.25,1.0,0,0.9,0.466666667,1,2,57.0,1,0.6,1
32,5,1,0,6,6,4,6,0,4,0.75,1.0,0,0.0,0.466666667,0,0,4.8,1,0.6,1
10,3,1,0,1,4,3,1,0,3,2.0,0.0,0,0.0,1.0,0,0,2.333333333,1,0.6667,0
17,3,2,0,3,6,3,0,3,3,2.0,0.0,0,0.964285714,0.533333333,0,0,4.666666667,1,0.3333,1
156,4,2,0,8,22,6,1,8,4,2.0,0.0,0,0.931034483,0.4166666670000001,1,1,38.0,1,0.5,1
52,5,2,0,8,11,10,4,6,5,2.0,0.0,0,0.9,0.4,1,1,9.4,1,0.6,1
28,6,2,0,6,9,13,4,4,5,0.8,1.0,0,0.9,0.4,0,0,3.5,1,0.5,1
97,4,1,0,2,5,0,2,0,4,0.333333333,1.0,0,0.0,0.5,0,0,22.5,3,1.5,1
161,4,2,0,10,20,6,4,8,4,2.0,0.0,0,0.931034483,0.4166666670000001,1,1,39.25,1,0.5,1
27,1,3,0,1,9,0,0,1,1,2.0,0.0,0,1.0,1.0,0,0,26.0,0,0.0,0
68,11,1,3,12,15,29,9,4,11,0.775,1.0,1,0.0,0.246753247,0,0,4.818181818,1,0.9091,1
7,2,1,1,2,3,1,2,0,2,2.0,0.0,0,0.0,1.0,0,0,2.5,1,0.5,0
437,6,1,0,16,57,15,0,16,5,1.0,1.0,0,0.0,0.4,0,0,71.66666667,2,1.1667,0
359,4,4,0,13,45,2,1,13,3,0.916666667,1.0,4,0.947368421,0.5,3,6,86.75,1,0.75,0
296,38,1,2,40,40,703,3,37,38,1.0,1.0,1,0.0,0.074224022,0,0,6.736842105,1,0.9737,1
25,4,2,0,5,9,6,1,5,4,2.0,0.0,0,0.931034483,0.392857143,0,0,5.25,1,0.5,1
218,12,1,0,2,25,0,1,1,0,0.436363636,1.0,0,0.0,0.395833333,0,0,16.75,3,1.3333,0
28,6,2,0,6,9,13,4,4,5,0.8,1.0,0,0.9,0.4,0,0,3.5,1,0.5,1
23,4,1,0,1,7,0,1,0,4,0.333333333,1.0,0,0.0,0.625,0,0,4.5,1,0.75,1
155,3,4,0,10,26,3,0,10,3,2.0,0.0,0,0.964285714,0.666666667,2,4,50.66666667,2,1.0,0
153,5,2,0,10,22,10,4,8,5,2.0,0.0,0,0.9,0.4,1,1,29.6,1,0.6,1
683,13,4,0,24,76,38,0,24,10,0.833333333,1.0,1,0.8666666670000001,0.5,2,2,50.46153846,5,1.4615,1
50,3,3,0,8,18,3,1,8,3,2.0,0.0,0,0.960784314,0.666666667,2,2,15.66666667,1,0.6667,0
62,5,2,0,10,12,10,4,8,5,2.0,0.0,0,0.9,0.4,1,2,11.4,1,0.6,1
161,4,2,0,10,20,6,4,8,4,2.0,0.0,0,0.931034483,0.4166666670000001,1,1,39.25,1,0.5,1
460,10,1,0,3,40,39,0,3,4,0.962962963,1.0,0,0.0,0.388888889,0,0,44.7,4,2.1,1
140,7,1,0,16,12,0,11,6,7,0.5,1.0,3,0.0,0.326530612,0,0,18.57142857,5,2.4286,1
