loc,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
176,4,3,0,7,28,0,1,7,1,0.666666667,0.5,0,0.947368421,0.5,2,5,42.5,8,2.5,0
106,9,4,0,0,15,28,0,0,8,0.375,1.0,0,0.8,0.466666667,0,0,10.33333333,1,0.5556,0
13,3,4,1,3,4,3,2,2,3,1.5,0.0,0,0.967741935,0.5555555560000001,1,4,3.0,1,0.6667,0
31,4,2,0,4,8,4,0,4,3,0.666666667,0.0,1,0.666666667,0.444444444,0,0,6.5,1,0.5,0
2550,45,1,0,23,108,602,7,17,16,0.942775974,0.071428571,15,0.0,0.153030303,0,0,54.42222222,2,1.0222,0
5,5,1,0,0,5,10,0,0,5,2.0,0.0,0,0.0,0.6,0,0,0.0,1,1.0,1
42,3,1,0,6,7,1,6,0,0,0.5,0.0,0,0.0,0.5,0,0,11.66666667,2,0.6667,0
103,2,1,0,0,17,1,0,0,2,2.0,0.0,0,0.0,0.5,0,0,50.0,10,5.0,0
2,2,1,0,0,2,1,0,0,2,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0
1,1,1,0,0,1,0,0,0,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1
2197,38,1,2,28,77,569,9,19,13,0.900900901,1.0,9,0.0,0.15263157900000002,0,0,55.94736842,6,1.9737,0
52,9,4,0,2,15,36,0,2,9,2.0,0.0,0,0.921568627,0.4166666670000001,0,0,4.777777778,1,0.8889,0
72,13,4,0,3,16,78,0,3,13,2.0,0.0,0,0.872340426,0.538461538,1,4,4.538461538,1,0.9231,0
8,8,1,0,0,8,28,0,0,8,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0
0,0,1,0,1,0,0,1,0,0,2.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
107,19,4,0,3,24,171,0,3,19,2.0,0.0,0,0.82,0.394736842,1,6,4.631578947,1,0.9474,0
39,7,4,0,3,10,21,0,3,7,2.0,0.0,0,0.931818182,0.571428571,1,4,4.571428571,1,0.8571,0
0,0,1,0,2,0,0,1,1,0,2.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
11,11,1,0,0,11,55,0,0,11,2.0,0.0,0,0.0,0.348484848,0,0,0.0,1,1.0,0
6,6,1,0,0,6,15,0,0,6,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0
14,14,1,0,0,14,91,0,0,14,2.0,0.0,0,0.0,0.5,0,0,0.0,1,1.0,0
17,3,4,0,2,6,3,0,2,3,2.0,0.0,0,0.979166667,0.666666667,0,0,4.666666667,1,0.6667,0
3,3,1,0,0,3,3,0,0,3,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1
11,11,1,0,0,11,55,0,0,11,2.0,0.0,0,0.0,0.515151515,0,0,0.0,1,1.0,0
13,2,2,0,1,6,1,0,1,2,2.0,0.0,0,0.958333333,1.0,0,0,5.5,1,0.5,1
2,2,1,0,2,2,1,1,1,2,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0
24,1,4,1,0,2,0,0,0,1,2.0,0.0,0,1.0,1.0,0,0,7.0,0,0.0,1
87,11,1,1,3,13,35,3,0,11,0.9,0.1,2,0.0,0.393939394,0,0,6.0,1,0.9091,1
6,6,1,0,0,6,15,0,0,6,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0
4,4,1,0,2,4,6,1,1,4,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0
7,7,1,0,0,7,21,0,0,7,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1
39,7,4,0,2,12,21,0,2,7,2.0,0.0,0,0.94,0.428571429,0,0,4.571428571,1,0.8571,0
8,1,5,1,1,2,0,1,0,1,2.0,0.0,0,1.0,1.0,0,0,5.0,0,0.0,1
1344,62,4,3,53,161,1649,48,25,49,0.926229508,0.916666667,2,0.580882353,0.155107188,2,19,20.48387097,23,1.9516,1
686,10,2,0,7,35,35,1,6,6,0.6736111109999999,1.0,3,0.333333333,0.233333333,0,0,66.0,1,0.8,0
233,5,1,0,4,9,0,3,1,5,0.166666667,1.0,1,0.0,0.533333333,0,0,45.0,4,1.4,0
10,1,4,0,0,2,0,0,0,1,2.0,0.0,0,1.0,1.0,0,0,7.0,0,0.0,1
171,27,4,0,2,35,351,0,2,27,2.0,0.0,0,0.783333333,0.37962963,0,0,5.333333333,3,1.1111,0
28,5,4,0,2,10,10,0,2,5,2.0,0.0,0,0.959183673,0.45,0,0,4.6,1,0.8,0
3,3,1,0,0,3,3,0,0,3,2.0,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,0
